iter	Passed	Remaining
560	3001	2348
561	3005	2342
562	3008	2334
563	3010	2326
564	3018	2323
565	3024	2318
566	3025	2310
567	3033	2306
568	3040	2302
569	3045	2297
570	3053	2293
571	3058	2288
572	3065	2284
573	3069	2278
574	3073	2271
575	3083	2269
576	3089	2264
577	3094	2259
578	3105	2258
579	3109	2251
580	3117	2248
581	3119	2240
582	3124	2234
583	3126	2227
584	3132	2222
585	3137	2216
586	3140	2209
587	3147	2205
588	3149	2197
589	3153	2191
590	3156	2184
591	3162	2179
592	3168	2174
593	3170	2166
594	3176	2162
595	3182	2157
596	3189	2153
597	3192	2146
598	3194	2138
599	3199	2132
600	3204	2127
601	3208	2121
602	3213	2115
603	3219	2110
604	3221	2103
605	3225	2097
606	3233	2093
607	3236	2086
608	3245	2083
609	3249	2077
610	3252	2070
611	3255	2064
612	3264	2061
613	3268	2055
614	3279	2053
615	3285	2047
616	3289	2042
617	3297	2038
618	3302	2032
619	3304	2025
620	3310	2020
621	3315	2014
622	3318	2007
623	3322	2002
624	3330	1998
625	3340	1995
626	3347	1991
627	3352	1985
628	3360	1981
629	3364	1976
630	3372	1972
631	3381	1968
632	3389	1965
633	3392	1958
634	3400	1954
635	3403	1947
636	3411	1943
637	3419	1939
638	3426	1935
639	3429	1929
640	3432	1922
641	3439	1917
642	3446	1913
643	3450	1907
644	3458	1903
645	3466	1899
646	3472	1894
647	3475	1887
648	3477	1880
649	3481	1874
650	3491	1871
651	3499	1867
652	3506	1863
653	3510	1857
654	3516	1852
655	3525	1848
656	3532	1844
657	3542	1841
658	3546	1835
659	3553	1830
660	3558	1824
661	3567	1821
662	3569	1814
663	3576	1809
664	3582	1804
665	3589	1799
666	3593	1793
667	3597	1787
668	3606	1784
669	3613	1779
670	3619	1774
671	3624	1768
672	3631	1764
673	3638	1759
674	3642	1753
675	3646	1747
676	3654	1743
677	3666	1741
678	3673	1736
679	3678	1731
680	3688	1727
681	3698	1724
682	3706	1720
683	3713	1715
684	3719	1710
685	3724	1704
686	3728	1698
687	3733	1693
688	3740	1688
689	3751	1685
690	3762	1682
691	3769	1677
692	3773	1671
693	3775	1664
694	3782	1659
695	3786	1653
696	3791	1648
697	3799	1643
698	3806	1639
699	3815	1635
700	3820	1629
701	3827	1624
702	3835	1620
703	3839	1614
704	3844	1608
705	3850	1603
706	3854	1597
707	3859	1591
708	3866	1586
709	3872	1581
710	3877	1575
711	3882	1570
712	3885	1564
713	3888	1557
714	3891	1551
715	3894	1544
716	3904	1541
717	3906	1534
718	3909	1527
719	3921	1525
720	3925	1518
721	3931	1513
722	3933	1507
723	3937	1500
724	3942	1495
725	3949	1490
726	3952	1484
727	3957	1478
728	3963	1473
729	3968	1467
730	3971	1461
731	3979	1456
732	3982	1450
733	3985	1444
734	3988	1438
735	3997	1433
736	4001	1427
737	4007	1422
738	4009	1416
739	4013	1410
740	4017	1404
741	4019	1397
742	4027	1392
743	4030	1386
744	4033	1380
745	4037	1374
746	4039	1368
747	4044	1362
748	4046	1356
749	4049	1349
750	4052	1343
751	4062	1339
752	4072	1335
753	4079	1330
754	4083	1325
755	4085	1318
756	4092	1313
757	4100	1309
758	4103	1303
759	4108	1297
760	4112	1291
761	4119	1286
762	4124	1281
763	4127	1274
764	4141	1272
765	4145	1266
766	4149	1260
767	4152	1254
768	4164	1251
769	4176	1247
770	4178	1241
771	4181	1235
772	4184	1228
773	4186	1222
774	4189	1216
775	4191	1209
776	4194	1203
777	4196	1197
778	4198	1191
779	4201	1184
780	4204	1178
781	4206	1172
782	4208	1166
783	4212	1160
784	4220	1155
785	4221	1149
786	4223	1143
787	4225	1136
788	4227	1130
789	4229	1124
790	4232	1118
791	4234	1112
792	4236	1105
793	4238	1099
794	4240	1093
795	4242	1087
796	4244	1081
797	4246	1074
798	4248	1068
799	4250	1062
800	4252	1056
801	4254	1050
802	4256	1044
803	4258	1038
804	4260	1032
805	4262	1025
806	4264	1019
807	4266	1013
808	4268	1007
809	4270	1001
810	4272	995
811	4274	989
812	4276	983
813	4278	977
814	4280	971
815	4282	965
816	4284	959
817	4286	953
818	4288	947
819	4290	941
820	4292	935
821	4294	930
822	4296	924
823	4298	918
824	4301	912
825	4303	906
826	4305	900
827	4307	894
828	4310	889
829	4315	883
830	4317	878
831	4319	872
832	4322	866
833	4324	860
834	4326	854
835	4329	849
836	4331	843
837	4333	837
838	4335	832
839	4337	826
840	4339	820
841	4341	814
842	4344	809
843	4346	803
844	4348	797
845	4351	792
846	4353	786
847	4354	780
848	4356	774
849	4358	769
850	4360	763
851	4362	757
852	4364	752
853	4366	746
854	4368	740
855	4370	735
856	4372	729
857	4374	723
858	4376	718
859	4378	712
860	4380	707
861	4381	701
862	4383	695
863	4385	690
864	4387	684
865	4389	679
866	4391	673
867	4393	668
868	4395	662
869	4397	657
870	4399	651
871	4401	646
872	4403	640
873	4405	635
874	4407	629
875	4409	624
876	4411	618
877	4414	613
878	4416	607
879	4418	602
880	4419	597
881	4422	591
882	4426	586
883	4428	581
884	4430	575
885	4432	570
886	4434	564
887	4436	559
888	4438	554
889	4440	548
890	4442	543
891	4444	538
892	4446	532
893	4448	527
894	4450	522
895	4452	516
896	4455	511
897	4457	506
898	4459	500
899	4461	495
900	4462	490
901	4464	485
902	4467	479
903	4469	474
904	4471	469
905	4473	464
906	4475	458
907	4477	453
908	4479	448
909	4481	443
910	4483	437
911	4485	432
912	4487	427
913	4488	422
914	4490	417
915	4491	411
916	4493	406
917	4494	401
918	4496	396
919	4498	391
920	4500	386
921	4502	380
922	4503	375
923	4505	370
924	4506	365
925	4508	360
926	4510	355
927	4511	350
928	4513	344
929	4515	339
930	4517	334
931	4518	329
932	4520	324
933	4521	319
934	4523	314
935	4526	309
936	4527	304
937	4529	299
938	4531	294
939	4533	289
940	4534	284
941	4536	279
942	4537	274
943	4539	269
944	4541	264
945	4542	259
946	4544	254
947	4545	249
948	4548	244
949	4549	239
950	4551	234
951	4552	229
952	4554	224
953	4555	219
954	4557	214
955	4558	209
956	4560	204
957	4561	199
958	4563	195
959	4565	190
960	4566	185
961	4568	180
962	4570	175
963	4571	170
964	4573	165
965	4574	161
966	4576	156
967	4577	151
968	4579	146
969	4581	141
970	4582	136
971	4584	132
972	4585	127
973	4587	122
974	4588	117
975	4590	112
976	4592	108
977	4593	103
978	4595	98
979	4597	93
980	4598	89
981	4600	84
982	4601	79
983	4603	74
984	4604	70
985	4606	65
986	4608	60
987	4609	55
988	4611	51
989	4613	46
990	4615	41
991	4616	37
992	4618	32
993	4619	27
994	4621	23
995	4622	18
996	4624	13
997	4625	9
998	4627	4
999	4629	0
